year,location,lat,lon,sowing,harvesting,Irrigated
2017,ARH2,35.675,-90.077,4/25/17,9/16/17,T
2017,COH1,40.649,-105,5/31/17,11/22/17,F
2017,DEH1,38.671,-75.433,4/28/17,9/8/17,F
2017,GAH1,31.507,-83.558,4/4/17,9/7/17,F
2017,GAH2,33.727,-83.299,5/2/17,9/8/17,F
2017,IAH1,41.201,-91.495,4/25/17,10/26/17,F
2017,IAH2,42.064,-94.721,5/6/17,10/31/17,F
2017,IAH3,41.976,-92.241,4/25/17,10/20/17,F
2017,IAH4,41.994,-93.688,5/7/17,10/17/17,F
2017,ILH1,40.061,-88.234,4/26/17,10/16/17,F
2017,INH1,40.479,-88.99,5/16/17,10/19/17,F
2017,MIH1,42.682,-84.494,5/22/17,10/20/17,F
2017,MNH1,43.075,-89.384,5/10/17,10/27/17,F
2017,MOH1,38.892,-92.207,5/15/17,10/19/17,T
2017,NCH1,35.299,-77.57,5/2/17,9/20/17,F
2017,NEH3,41.158,-101.988,5/16/17,11/12/17,F
2017,NEH4,41.159,-96.415,5/16/17,11/13/17,F
2017,NYH1,42.729,-76.652,5/20/17,11/22/17,F
2017,NYH2,42.733,-76.652,5/18/17,11/24/17,F
2017,NYH3,42.733,-76.652,5/18/17,11/24/17,F
2017,OHH1,39.855,-83.665,5/16/17,10/20/17,F
2017,TXH1,30.545,-96.433,3/3/17,10/9/17,T
2017,WIH1,43.057,-89.531,5/5/17,10/19/17,F
2017,WIH2,43.324,-89.336,5/11/17,11/6/17,F
2018,ARH1,34.728,-90.76,4/25/18,9/1/18,T
2018,ARH2,35.675,-90.077,4/19/18,9/23/18,T
2018,DEH1,38.649,-75.45,5/2/18,9/20/18,F
2018,GAH1,31.505,-83.555,4/3/18,8/30/18,T
2018,GAH2,33.715,-83.309,5/1/18,9/12/18,T
2018,IAH1,41.199,-91.486,5/8/18,10/18/18,F
2018,IAH2,42.066,-94.727,4/29/18,10/23/18,F
2018,IAH3,41.987,-92.26,4/30/18,10/15/18,F
2018,IAH4,41.998,-93.696,5/15/18,10/26/18,F
2018,ILH1,40.063,-88.23,5/8/18,9/24/18,F
2018,INH1,40.479,-86.99,5/7/18,9/19/18,F
2018,KSH1,37.81,-100.77,5/7/18,10/6/18,T
2018,MIH1,42.688,-84.497,5/28/18,11/18/18,F
2018,MNH1,43.075,-89.384,5/24/18,11/14/18,F
2018,MOH1,38.897,-92.209,5/17/18,9/26/18,F
2018,NCH1,35.667,-78.492,5/8/18,9/25/18,F
2018,NEH2,41.38,-96.56,5/8/18,9/27/18,F
2018,NYH1,42.729,-76.651,5/25/18,11/12/18,F
2018,NYH2,42.73,-76.66,5/18/18,12/11/18,F
2018,NYH3,42.725,-76.655,5/18/18,12/11/18,F
2018,OHH1,39.857,-83.67,5/15/18,10/9/18,F
2018,SCH1,34.622,-82.737,4/20/18,9/15/18,F
2018,TXH1,30.545,-96.432,3/8/18,9/25/18,T
2018,WIH1,43.056,-89.531,5/8/18,10/19/18,F
2018,WIH2,43.326,-89.34,5/19/18,10/19/18,F
2019,DEH1,38.671,-75.433,5/9/19,9/12/19,F
2019,GAH1,31.505,-83.555,3/28/19,8/15/19,T
2019,GAH2,33.721,-83.308,4/12/19,9/5/19,F
2019,IAH1,41.199,-91.486,6/6/19,11/5/19,F
2019,IAH2,42.066,-94.727,4/26/19,10/26/19,F
2019,IAH3,41.987,-92.26,5/6/19,10/27/19,F
2019,IAH4,41.998,-93.696,6/3/19,10/17/19,F
2019,ILH1,40.058,-88.23,5/21/19,10/18/19,F
2019,INH1,40.477,-87,6/5/19,10/11/19,F
2019,MIH1,42.708,-84.47,5/27/19,11/17/19,F
2019,MNH1,44.067,-93.524,6/3/19,11/19/19,F
2019,MOH1,38.895,-92.209,5/16/19,10/8/19,F
2019,NCH1,35.669,-78.511,5/13/19,10/7/19,T
2019,NEH1,41.159,-96.415,5/16/19,11/13/19,F
2019,NEH2,40.86,-96.616,5/17/19,11/13/19,F
2019,NYH1,42.729,-76.652,6/3/19,12/12/19,F
2019,NYH2,42.732,-76.652,5/23/19,12/11/19,F
2019,NYH3,42.733,-76.654,5/23/19,12/12/19,F
2019,OHH1,39.857,-83.67,6/7/19,10/15/19,F
2019,SCH1,34.623,-82.738,5/2/19,9/5/16,F
2019,TXH1,30.545,-96.432,3/20/19,8/23/19,T
2019,TXH4,43.075,-89.384,5/2/19,9/18/19,T
2019,WIH1,43.057,-89.531,5/12/19,10/27/19,F
2019,WIH2,43.319,-89.389,6/3/19,11/22/19,F
