location,LON,LAT,YEAR,MM,DD,DOY,date,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_TOA_SW_DWN,PRECTOT,PS,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,TS,WS10M
ARH1,-90.75972,34.72835,2018,5,16,136,2018-05-16,35.14,21.73,40.08,2.66,100.43,79.5,24.63,20.9,20.85,29.7,19.74,24.94,2.19
ARH1,-90.75972,34.72835,2018,5,17,137,2018-05-17,34.11,16.08,40.17,9.98,100.34,89.05,22.29,20.4,20.42,25.12,19.16,22.27,2.6
ARH1,-90.75972,34.72835,2018,5,18,138,2018-05-18,33.75,20.99,40.25,1.59,100.32,74.62,23.71,19.02,18.95,28.73,18.56,24.04,2.54
ARH1,-90.75972,34.72835,2018,5,19,139,2018-05-19,33.78,22.75,40.33,1.11,100.62,77.14,24.92,20.71,20.6,30.09,19.89,24.72,2.83
ARH1,-90.75972,34.72835,2018,5,20,140,2018-05-20,34.84,20.65,40.41,3.39,100.97,76.84,25.56,21.28,21.17,31.7,19.74,25.68,2.73
ARH1,-90.75972,34.72835,2018,5,21,141,2018-05-21,35.55,17.69,40.49,26.42,100.92,87.43,24.01,21.8,21.81,27.3,21.47,24.15,1.76
ARH1,-90.75972,34.72835,2018,5,22,142,2018-05-22,34.95,25.41,40.56,2.16,100.91,80.9,24.36,20.92,20.86,28.08,21.08,24.15,1.4
ARH1,-90.75972,34.72835,2018,5,23,143,2018-05-23,35.5,11.4,40.63,2.14,101.05,73.78,25.25,20.33,20.18,29.9,20.31,24.9,1.34
ARH1,-90.75972,34.72835,2018,5,24,144,2018-05-24,35.22,25.78,40.7,10.71,101.07,81.04,25.12,21.69,21.65,28.57,21.3,25.09,1.24
ARH1,-90.75972,34.72835,2018,5,25,145,2018-05-25,35.02,14.95,40.76,1.04,100.68,80.77,24.85,21.37,21.33,29.14,21.6,24.77,1.57
ARH1,-90.75972,34.72835,2018,5,26,146,2018-05-26,34.52,19.29,40.82,2.87,100.39,87.17,24,21.74,21.74,27.35,20.47,24.1,1.69
ARH1,-90.75972,34.72835,2018,5,27,147,2018-05-27,34.98,21.3,40.88,1.4,100.45,80.29,25.19,21.6,21.56,29.43,20.98,25.22,1.67
ARH1,-90.75972,34.72835,2018,5,28,148,2018-05-28,34.62,25.42,40.94,0.95,100.31,81.22,25.46,22.05,22,30.29,20.44,25.55,3.09
ARH1,-90.75972,34.72835,2018,5,29,149,2018-05-29,35.7,18.49,40.99,1.63,99.97,82.67,24.98,21.86,21.84,28.93,21.45,25.35,3
ARH1,-90.75972,34.72835,2018,5,30,150,2018-05-30,35.51,23.01,41.04,0.18,100.07,76.28,27.28,22.83,22.71,32.42,21.23,27.26,3.31
ARH1,-90.75972,34.72835,2018,5,31,151,2018-05-31,34.94,22.62,41.09,0.83,100.35,75.9,27.69,23.15,23.05,32.4,23.65,27.66,4.74
ARH1,-90.75972,34.72835,2018,6,1,152,2018-06-01,37.23,19.65,41.14,7.28,100.45,80.17,27.51,23.85,23.77,32.06,23.57,27.67,2.75
ARH1,-90.75972,34.72835,2018,6,2,153,2018-06-02,35.79,26.26,41.18,3.4,100.41,78.1,27.82,23.73,23.65,31.66,23.37,27.69,1.53
ARH1,-90.75972,34.72835,2018,6,3,154,2018-06-03,31.79,28.65,41.22,1.5,100.83,67.77,25.01,18.76,18.46,29.55,19.53,25.06,4.98
ARH1,-90.75972,34.72835,2018,6,4,155,2018-06-04,30.45,28.67,41.26,0,100.89,61.83,24.21,16.55,16.41,30.13,16.86,24.3,2.25
ARH1,-90.75972,34.72835,2018,6,5,156,2018-06-05,31.29,27.92,41.29,0,100.54,61.44,25.61,17.78,17.62,31.31,18.77,25.8,1.43
ARH1,-90.75972,34.72835,2018,6,6,157,2018-06-06,30.18,29.46,41.32,0,100.57,57.4,26.32,17.35,17.19,32.47,19.43,25.97,1.46
ARH1,-90.75972,34.72835,2018,6,7,158,2018-06-07,31.31,28.32,41.35,0,100.86,58.75,26.76,18.14,17.97,33.29,20.24,26.85,1.82
ARH1,-90.75972,34.72835,2018,6,8,159,2018-06-08,33.43,26.62,41.38,0.03,101.07,57.04,28,18.83,18.61,34.06,21.49,27.93,1.64
ARH1,-90.75972,34.72835,2018,6,9,160,2018-06-09,34.55,25.95,41.4,0.41,100.95,62.16,28.31,20.52,20.34,33.55,22.66,28.4,1.72
ARH1,-90.75972,34.72835,2018,6,10,161,2018-06-10,33.93,27.92,41.42,0,100.61,62.13,27.83,20.05,19.89,34.09,21.68,28.38,3.25
ARH1,-90.75972,34.72835,2018,6,11,162,2018-06-11,34.8,22.96,41.44,0.92,100.49,75.2,26.43,21.78,21.68,30.98,22.16,26.81,3.96
ARH1,-90.75972,34.72835,2018,6,12,163,2018-06-12,36.23,19.82,41.46,10.4,100.63,76.16,27.28,22.81,22.71,31.95,23.3,27.25,3.44
ARH1,-90.75972,34.72835,2018,6,13,164,2018-06-13,37.04,22.72,41.48,5.95,100.78,78.44,27.43,23.43,23.35,31.84,23.31,27.56,2.97
ARH1,-90.75972,34.72835,2018,6,14,165,2018-06-14,35.24,26.5,41.49,0.41,100.81,76.55,27.65,23.25,23.15,31.96,23.32,27.66,1.68
ARH1,-90.75972,34.72835,2018,6,15,166,2018-06-15,34.66,26.26,41.5,0.11,100.7,66.13,28.81,22,21.82,34.68,23.06,29.46,1.85
ARH1,-90.75972,34.72835,2018,6,16,167,2018-06-16,36.02,25.78,41.51,0.04,100.75,66.26,29.23,22.44,22.27,35.04,23.19,29.98,2.3
ARH1,-90.75972,34.72835,2018,6,17,168,2018-06-17,36.39,25.13,41.51,0.05,100.98,69.19,28.73,22.66,22.52,33.65,24.01,29.38,2.89
ARH1,-90.75972,34.72835,2018,6,18,169,2018-06-18,35.52,27.12,41.51,0.22,101.11,65.25,28.3,21.3,21.14,33.87,23.07,29,3.33
ARH1,-90.75972,34.72835,2018,6,19,170,2018-06-19,36.94,16.79,41.52,0.83,100.96,72.26,26.57,21.28,21.17,30.6,22.63,26.95,2.77
ARH1,-90.75972,34.72835,2018,6,20,171,2018-06-20,37.25,12.29,41.51,10.18,100.62,82.32,25.74,22.54,22.51,29.1,23.21,25.87,2.68
ARH1,-90.75972,34.72835,2018,6,21,172,2018-06-21,36.37,24.27,41.51,12.67,100.19,73.38,27.04,21.98,21.86,32.98,22.48,27.49,3.81
ARH1,-90.75972,34.72835,2018,6,22,173,2018-06-22,34.73,26.53,41.5,3.66,100.1,65.33,26.83,19.92,19.73,32.47,21.19,26.94,3.46
ARH1,-90.75972,34.72835,2018,6,23,174,2018-06-23,35.63,25.6,41.5,3.68,100.21,77.55,26.95,22.78,22.64,32.15,21.48,26.72,2.8
ARH1,-90.75972,34.72835,2018,6,24,175,2018-06-24,36.44,25.11,41.48,8.62,100.55,75.21,27.92,23.23,23.13,32.91,23.64,28.11,4.38
ARH1,-90.75972,34.72835,2018,6,25,176,2018-06-25,36.39,26.1,41.47,1.04,100.82,74.1,28.13,23.19,23.07,33.12,24.13,28.19,4.26
ARH1,-90.75972,34.72835,2018,6,26,177,2018-06-26,36.21,27.39,41.45,0.06,100.83,68.05,29.18,22.82,22.65,34.25,25.15,29.18,4.28
ARH1,-90.75972,34.72835,2018,6,27,178,2018-06-27,36.58,27.16,41.44,0.16,100.58,70.64,29.07,23.33,23.15,34.12,24.94,28.84,3.89
ARH1,-90.75972,34.72835,2018,6,28,179,2018-06-28,36.12,27.6,41.42,7.57,100.68,68.81,29.89,23.69,23.53,35.33,25.13,30.02,3.41
ARH1,-90.75972,34.72835,2018,6,29,180,2018-06-29,36.83,15.41,41.39,0.25,100.78,73.11,28.81,23.64,23.51,33.8,24.53,29.5,2.66
ARH1,-90.75972,34.72835,2018,6,30,181,2018-06-30,36.44,25.74,41.37,2.46,100.72,69.09,29.62,23.49,23.34,35.27,24.16,30.37,2.46
ARH1,-90.75972,34.72835,2018,7,1,182,2018-07-01,35.99,28.04,41.34,2.56,100.66,65.39,29.51,22.49,22.28,35.5,23.87,29.85,2.59
ARH1,-90.75972,34.72835,2018,7,2,183,2018-07-02,38.77,24.73,41.31,2.08,100.74,76.93,27.73,23.4,23.28,31.55,24.78,27.68,1.54
ARH1,-90.75972,34.72835,2018,7,3,184,2018-07-03,37.75,22.07,41.27,0.13,100.9,77.27,27.68,23.42,23.34,31.89,24.39,27.96,3.2
ARH1,-90.75972,34.72835,2018,7,4,185,2018-07-04,37.04,26.35,41.24,1.35,101.24,69.46,29.64,23.6,23.44,34.82,24.01,30.57,2.7
ARH1,-90.75972,34.72835,2018,7,5,186,2018-07-05,37.61,27.19,41.2,1.2,101.44,71.95,29.22,23.77,23.62,34.6,24.89,29.67,2.53
ARH1,-90.75972,34.72835,2018,7,6,187,2018-07-06,36.75,27.19,41.16,2.03,101.37,80.39,27.74,24.12,24.05,31.56,24.81,27.82,2.54
ARH1,-90.75972,34.72835,2018,7,7,188,2018-07-07,37,22.44,41.11,1.76,101.16,76.53,27.08,22.69,22.6,31.61,23.38,27.66,4.28
ARH1,-90.75972,34.72835,2018,7,8,189,2018-07-08,37.13,22.83,41.07,0.46,101.24,73.36,27.31,22.23,22.13,32.37,22.72,28.11,3.16
ARH1,-90.75972,34.72835,2018,7,9,190,2018-07-09,37.31,22.27,41.02,0.32,101.4,71.62,27.61,22.14,22.02,32.58,22.38,28.69,2.18
ARH1,-90.75972,34.72835,2018,7,10,191,2018-07-10,37.38,24.83,40.97,0.01,101.12,66.05,29.21,22.36,22.2,33.92,23.59,30.09,1.26
ARH1,-90.75972,34.72835,2018,7,11,192,2018-07-11,36.89,26.21,40.92,0.15,100.88,59.86,30.65,22.12,21.93,36.56,24.81,31.64,1.58
ARH1,-90.75972,34.72835,2018,7,12,193,2018-07-12,36.42,27.46,40.86,3.06,101.01,65.66,30.11,23.13,22.91,35.2,25.1,30.86,1.04
ARH1,-90.75972,34.72835,2018,7,13,194,2018-07-13,37.02,26.96,40.8,0.81,101.03,59.25,31.46,22.71,22.5,37.12,25.93,32.41,1.04
ARH1,-90.75972,34.72835,2018,7,14,195,2018-07-14,37.8,26.29,40.74,1.05,100.91,57.51,31.45,22.2,22.02,37.7,25.51,32.63,2.24
ARH1,-90.75972,34.72835,2018,7,15,196,2018-07-15,38.41,24.9,40.68,5.66,100.76,58.8,31.22,22.36,22.16,37.52,25.38,32.17,2.58
ARH1,-90.75972,34.72835,2018,7,16,197,2018-07-16,38.84,24.07,40.62,2.76,100.73,68.88,29.85,23.66,23.5,35.64,24.97,30.77,2.34
ARH1,-90.75972,34.72835,2018,7,17,198,2018-07-17,37.93,24.83,40.55,2.38,100.75,68.54,29.96,23.69,23.51,35.17,24.94,30.97,1.33
ARH1,-90.75972,34.72835,2018,7,18,199,2018-07-18,38.48,10.62,40.48,8.96,100.67,80.35,27.86,24.23,24.16,32.12,25.09,28.26,0.88
ARH1,-90.75972,34.72835,2018,7,19,200,2018-07-19,37.73,25.55,40.41,3.86,100.45,68.73,29.94,23.72,23.55,35.98,24.17,30.92,1.54
ARH1,-90.75972,34.72835,2018,7,20,201,2018-07-20,38.02,20.85,40.33,5.17,100.34,63.22,31.66,23.97,23.72,39.33,25.61,32.41,3.01
ARH1,-90.75972,34.72835,2018,7,21,202,2018-07-21,36.56,26.21,40.25,2.72,100.36,63.94,29.73,22.33,22.07,35.67,24.42,30.42,4.11
ARH1,-90.75972,34.72835,2018,7,22,203,2018-07-22,33.48,25.68,40.17,0,100.35,57.83,27.66,18.73,18.56,33.73,21.64,28.51,3.44
ARH1,-90.75972,34.72835,2018,7,23,204,2018-07-23,34.75,21.49,40.09,0,100.52,61.95,26.8,19.03,18.91,32.51,21.62,28,4.05
ARH1,-90.75972,34.72835,2018,7,24,205,2018-07-24,33.19,26.38,40.01,0,100.78,59.32,27.6,19.08,18.92,34.33,20.99,28.73,3.28
ARH1,-90.75972,34.72835,2018,7,25,206,2018-07-25,32.66,26.99,39.92,0,100.77,56.15,29.01,19.51,19.29,36.13,22.56,30.2,2.57
ARH1,-90.75972,34.72835,2018,7,26,207,2018-07-26,34.83,26.76,39.83,0.34,100.76,50.31,29.58,18.24,17.99,37.4,22.37,30.63,1.58
ARH1,-90.75972,34.72835,2018,7,27,208,2018-07-27,36.44,19,39.73,8.22,100.93,68.68,27.51,21.37,21.22,32.43,22.83,28.24,1.6
ARH1,-90.75972,34.72835,2018,7,28,209,2018-07-28,34.93,12.88,39.64,1.9,101.04,60.84,27.49,19.39,19.19,33.27,22.07,28.24,1.22
ARH1,-90.75972,34.72835,2018,7,29,210,2018-07-29,35.95,21.23,39.54,2.7,100.83,60.87,27.36,19.28,19.06,33.37,20.74,28.13,1.99
ARH1,-90.75972,34.72835,2018,7,30,211,2018-07-30,35.98,15.06,39.43,5.27,100.67,75.32,25.61,21.01,20.93,30.4,22.46,26.07,1.94
ARH1,-90.75972,34.72835,2018,7,31,212,2018-07-31,34.11,3.81,39.33,4.7,100.68,72.3,24.75,19.53,19.41,29.17,20.55,25.09,1.3
ARH1,-90.75972,34.72835,2018,8,1,213,2018-08-01,31.68,26.27,39.22,0.02,100.79,62.47,24.99,17.45,17.31,32.05,18.34,26.25,2.82
ARH1,-90.75972,34.72835,2018,8,2,214,2018-08-02,30.65,27.29,39.11,0,100.91,55.02,26.46,16.8,16.61,33.89,19.46,27.17,2.59
ARH1,-90.75972,34.72835,2018,8,3,215,2018-08-03,30.85,27.35,39,0,101.03,48.34,27.71,15.86,15.68,35.42,20.13,28.28,2.02
ARH1,-90.75972,34.72835,2018,8,4,216,2018-08-04,35.47,25.36,38.88,0.12,101.09,58,28.31,19.39,19.2,35.15,21.21,29.23,2.81
ARH1,-90.75972,34.72835,2018,8,5,217,2018-08-05,36.73,18.01,38.76,0.54,101.29,70.08,27.26,21.45,21.3,32.11,24,27.49,2.95
ARH1,-90.75972,34.72835,2018,8,6,218,2018-08-06,35.28,26.02,38.64,1.16,101.18,58.2,29.22,20.3,20.15,35.86,22.96,30.11,3.05
ARH1,-90.75972,34.72835,2018,8,7,219,2018-08-07,35.48,25.95,38.51,1.61,100.91,56.38,29.83,20.35,20.19,36.83,22.91,30.91,3.53
ARH1,-90.75972,34.72835,2018,8,8,220,2018-08-08,37.58,18.38,38.38,9.62,100.83,70.29,27.82,22.04,21.88,33.42,24.06,28.46,2.1
ARH1,-90.75972,34.72835,2018,8,9,221,2018-08-09,36.31,14.79,38.25,5.07,100.82,80.62,25.34,21.82,21.77,28.29,22.9,25.53,2.5
ARH1,-90.75972,34.72835,2018,8,10,222,2018-08-10,34.45,25.41,38.12,0.03,100.7,58.86,28,19.33,19.08,35.14,20.93,28.79,1.78
ARH1,-90.75972,34.72835,2018,8,11,223,2018-08-11,33.95,26.04,37.98,0,100.75,55.84,28.99,19.41,19.1,36.24,21.45,29.56,1.85
ARH1,-90.75972,34.72835,2018,8,12,224,2018-08-12,36.62,17.44,37.85,2.34,101,65.05,28.38,21.32,21.13,34.46,23.99,29.09,1.37
ARH1,-90.75972,34.72835,2018,8,13,225,2018-08-13,36.3,15.25,37.7,7.9,101.02,76.08,26.31,21.85,21.72,29.44,23.59,26.55,1.68
ARH1,-90.75972,34.72835,2018,8,14,226,2018-08-14,35.8,16.43,37.56,0.41,100.83,66.64,26.98,20.38,20.23,31.15,22.67,27.09,2.41
ARH1,-90.75972,34.72835,2018,8,15,227,2018-08-15,36.64,21.87,37.41,3.61,100.74,65.4,28.19,21.23,21.03,34.15,22.25,28.24,3.86
ARH1,-90.75972,34.72835,2018,8,16,228,2018-08-16,37.17,23.54,37.26,6.75,100.81,66.94,29.56,22.92,22.75,35.64,24.54,29.75,3.83
ARH1,-90.75972,34.72835,2018,8,17,229,2018-08-17,37.6,10.67,37.11,9.52,100.91,85.73,27.19,24.62,24.6,30.45,24.68,27.46,2.22
ARH1,-90.75972,34.72835,2018,8,18,230,2018-08-18,36.95,15.67,36.95,9.4,100.68,75.42,27.42,22.79,22.68,32.53,23.59,28.13,2.34
ARH1,-90.75972,34.72835,2018,8,19,231,2018-08-19,36.88,16.54,36.8,10.72,100.48,78.58,27.49,23.51,23.4,32.72,22.46,28.19,2.31
ARH1,-90.75972,34.72835,2018,8,20,232,2018-08-20,37.56,14.26,36.63,10.47,100.45,82.27,27.14,23.9,23.84,31.4,22.92,27.42,4.71
ARH1,-90.75972,34.72835,2018,8,21,233,2018-08-21,34.57,17.15,36.47,0.75,100.8,74.53,25.16,20.4,20.32,30.18,20.54,25.83,3.82
ARH1,-90.75972,34.72835,2018,8,22,234,2018-08-22,32.84,23.18,36.3,0,101.21,65.28,25.25,18.4,18.22,31.24,19.57,25.95,3
ARH1,-90.75972,34.72835,2018,8,23,235,2018-08-23,32.03,24.72,36.13,0,101.15,58.68,23.9,15.42,15.29,30.57,18.12,24.85,2.79
ARH1,-90.75972,34.72835,2018,8,24,236,2018-08-24,33.9,24.09,35.96,0,100.87,53.84,25.78,15.81,15.66,33.81,18.4,26.38,3.03
ARH1,-90.75972,34.72835,2018,8,25,237,2018-08-25,34.1,23.87,35.79,0,101.05,59.92,27.82,19.46,19.25,35.14,20.71,28.53,2.85
ARH1,-90.75972,34.72835,2018,8,26,238,2018-08-26,35.95,22.71,35.65,0.02,101.14,61.8,29.11,21.18,21.03,35.86,22.93,29.92,2.87
ARH1,-90.75972,34.72835,2018,8,27,239,2018-08-27,35.7,22.79,35.5,0,100.93,61.29,29.44,21.36,21.2,35.97,23.79,30.21,4.06
ARH1,-90.75972,34.72835,2018,8,28,240,2018-08-28,36.14,21.25,35.35,0.09,100.95,62.44,29.38,21.6,21.44,35.45,24.03,30.36,3.82
ARH1,-90.75972,34.72835,2018,8,29,241,2018-08-29,36.34,20.68,35.2,6.98,101.02,69.05,28.48,22.39,22.22,33.86,24.36,29.13,3
ARH1,-90.75972,34.72835,2018,8,30,242,2018-08-30,35.98,22.65,35.04,10.86,101.06,76.9,27.08,22.77,22.68,31.47,22.81,27.63,1.52
ARH1,-90.75972,34.72835,2018,8,31,243,2018-08-31,36.27,17.3,34.88,8.01,100.9,74.72,27.12,22.35,22.24,31.95,23.21,27.59,2.32
ARH1,-90.75972,34.72835,2018,9,1,244,2018-09-01,35.96,22.57,34.72,0.03,100.96,66.25,27.97,21.24,21.09,34.16,22.15,28.71,3.79
ARH2,-90.0766,35.67487,2018,4,19,109,2018-04-19,22.27,24.95,36.4,0,101.69,66.7,7.44,1.7,1.58,11.46,3.55,8.18,5.62
ARH2,-90.0766,35.67487,2018,4,20,110,2018-04-20,22.72,25.75,36.58,0,101.8,67.46,10.7,4.98,4.74,19.03,2.19,10.94,4.33
ARH2,-90.0766,35.67487,2018,4,21,111,2018-04-21,28.32,22.7,36.76,0.11,101.21,74.09,14.9,10.38,10.06,21.98,5.96,15.04,4.34
ARH2,-90.0766,35.67487,2018,4,22,112,2018-04-22,32.48,7.88,36.93,40.05,100.29,92.47,16.01,14.77,14.79,19.17,13.79,15.77,4.38
ARH2,-90.0766,35.67487,2018,4,23,113,2018-04-23,31.48,6.16,37.1,9.16,100.15,91.45,14.27,12.88,12.92,16.89,11.11,14.21,1.64
ARH2,-90.0766,35.67487,2018,4,24,114,2018-04-24,30.12,9.58,37.26,0.25,100.59,85.76,14.93,12.56,12.54,19.6,9.59,14.79,3.35
ARH2,-90.0766,35.67487,2018,4,25,115,2018-04-25,29.76,8.15,37.42,7.47,100.62,86.24,14.75,12.47,12.47,19.87,9.16,14.29,2.38
ARH2,-90.0766,35.67487,2018,4,26,116,2018-04-26,30.28,6.05,37.58,13.56,100.28,83.81,14.19,11.49,11.49,17.98,11.07,14.05,3.34
ARH2,-90.0766,35.67487,2018,4,27,117,2018-04-27,25.68,26.85,37.74,0.02,100.41,72.79,15.43,10.63,10.53,22.88,9,15.31,3.93
ARH2,-90.0766,35.67487,2018,4,28,118,2018-04-28,25.33,27.24,37.89,0,100.81,69.73,14.3,8.92,8.79,21.72,8.52,14.36,4.39
ARH2,-90.0766,35.67487,2018,4,29,119,2018-04-29,23.49,27.59,38.04,0,101.5,63.67,12.36,5.73,5.64,19.58,6.09,12.54,3.83
ARH2,-90.0766,35.67487,2018,4,30,120,2018-04-30,25.08,27.11,38.18,0,101.24,66.48,15.08,8.96,8.61,23.97,5.6,15.07,3.36
ARH2,-90.0766,35.67487,2018,5,1,121,2018-05-01,29.24,24.09,38.32,0,100.92,76.27,18.63,14.43,14.19,25.72,10.5,18.37,4.66
ARH2,-90.0766,35.67487,2018,5,2,122,2018-05-02,33.77,20.42,38.46,0.56,100.92,84.12,22.44,19.64,19.57,27.65,16.96,22.32,5.59
ARH2,-90.0766,35.67487,2018,5,3,123,2018-05-03,33.93,16.11,38.6,4.03,100.83,88.03,21.64,19.57,19.59,24.38,19.83,21.24,5.77
ARH2,-90.0766,35.67487,2018,5,4,124,2018-05-04,34.45,7.66,38.73,7.74,100.77,90.81,21.83,20.25,20.26,25.05,18.87,21.58,4.65
ARH2,-90.0766,35.67487,2018,5,5,125,2018-05-05,31.05,22.27,38.86,4.16,100.75,78.82,19.92,16.18,16.07,24.45,16.07,19.6,2.29
ARH2,-90.0766,35.67487,2018,5,6,126,2018-05-06,29.23,25.6,38.98,0.34,100.78,65.97,21.1,14.6,14.44,28.32,13.08,20.84,2.47
ARH2,-90.0766,35.67487,2018,5,7,127,2018-05-07,29.59,25.88,39.1,0.78,100.96,74.67,21.51,16.9,16.81,27.49,16.35,21.54,2.58
ARH2,-90.0766,35.67487,2018,5,8,128,2018-05-08,30.75,25.51,39.22,0,100.8,75.31,22.25,17.75,17.52,28.85,14.62,22.61,2.41
ARH2,-90.0766,35.67487,2018,5,9,129,2018-05-09,33.04,19.92,39.34,0,100.45,79.01,23.21,19.42,19.38,27.81,19.03,22.73,5.28
ARH2,-90.0766,35.67487,2018,5,10,130,2018-05-10,31.91,24.07,39.45,0.01,100.58,75.22,24.05,19.48,19.4,30.14,19.76,23.71,4.75
ARH2,-90.0766,35.67487,2018,5,11,131,2018-05-11,30.56,26.41,39.56,0,100.56,75.27,23.49,18.95,18.87,28.95,18.08,23.25,5.55
ARH2,-90.0766,35.67487,2018,5,12,132,2018-05-12,31.52,25.06,39.66,0.07,100.74,75.15,23.98,19.39,19.31,29.44,19.77,23.84,4.79
ARH2,-90.0766,35.67487,2018,5,13,133,2018-05-13,32.02,24.98,39.77,0,100.72,75.47,24.57,20.03,19.89,30.88,17.75,24.46,3.31
ARH2,-90.0766,35.67487,2018,5,14,134,2018-05-14,34.18,23.48,39.87,0.17,100.52,78.83,25.36,21.49,21.39,30.55,19.77,25.24,2.86
ARH2,-90.0766,35.67487,2018,5,15,135,2018-05-15,33.71,24.78,39.96,0.65,100.31,72.87,25.82,20.69,20.59,31.04,21.2,25.67,2.71
ARH2,-90.0766,35.67487,2018,5,16,136,2018-05-16,34.92,23.06,40.06,4.9,100.19,79.63,24.49,20.8,20.75,29,19.92,24.62,1.78
ARH2,-90.0766,35.67487,2018,5,17,137,2018-05-17,33.75,10.25,40.15,10.57,100.16,89.97,22.09,20.36,20.39,24.77,19.38,21.9,2.6
ARH2,-90.0766,35.67487,2018,5,18,138,2018-05-18,33.95,21.56,40.24,4.56,100.08,83.4,22.48,19.55,19.53,27.24,18.88,22.86,2.94
ARH2,-90.0766,35.67487,2018,5,19,139,2018-05-19,33.45,23.25,40.32,10.59,100.41,82.46,23.9,20.77,20.7,29.29,18.36,23.7,2.57
ARH2,-90.0766,35.67487,2018,5,20,140,2018-05-20,34.6,22.04,40.41,6.76,100.8,83.14,24.17,21.16,21.1,29.56,19.01,24.22,2.7
ARH2,-90.0766,35.67487,2018,5,21,141,2018-05-21,35.09,15.12,40.49,14.67,100.74,91.47,22.67,21.19,21.21,25.24,20.2,22.56,2.1
ARH2,-90.0766,35.67487,2018,5,22,142,2018-05-22,34,24.82,40.56,3.46,100.69,78.89,24.7,20.85,20.79,29.29,20.8,24.53,1.01
